((18, 1), (19, 5), (1, 1))
((19, 5), (5, 6), (14, 10))
((19, 11), (1, 3), (14, 9))
((7, 4), (4, 17), (18, 5))
((14, 8), (11, 7), (9, 14))
((17, 16), (1, 10), (12, 6))
((4, 2), (1, 6), (17, 9))
((10, 1), (3, 10), (1, 12))
((19, 18), (7, 5), (11, 12))
((14, 19), (7, 9), (13, 1))
((14, 9), (17, 8), (1, 1))
((10, 19), (3, 18), (18, 3))
((18, 19), (15, 4), (3, 1))
((18, 13), (7, 11), (19, 3))
((6, 1), (14, 9), (16, 8))
((10, 1), (1, 10), (18, 16))
((5, 12), (11, 19), (16, 8))
((3, 17), (3, 6), (14, 18))
((1, 14), (13, 4), (18, 14))
((2, 16), (2, 17), (5, 18))
((7, 9), (18, 4), (6, 6))
((3, 8), (5, 17), (18, 18))
((3, 10), (7, 18), (13, 3))
((15, 18), (18, 19), (2, 19))
((13, 17), (4, 2), (3, 12))
((5, 15), (12, 11), (7, 4))
((9, 12), (18, 17), (19, 1))
((9, 8), (6, 12), (12, 13))
((18, 17), (19, 7), (13, 12))
((11, 1), (1, 17), (18, 16))
((11, 1), (9, 10), (9, 12))
((14, 11), (5, 14), (12, 1))
((17, 19), (4, 4), (11, 10))
((1, 3), (14, 11), (1, 12))
((3, 11), (3, 2), (18, 13))
((9, 3), (6, 6), (3, 4))
((6, 10), (12, 7), (12, 3))
((14, 19), (14, 6), (5, 13))
((17, 13), (15, 4), (5, 18))
((5, 19), (1, 12), (14, 13))
((19, 18), (17, 2), (18, 5))
((6, 19), (14, 13), (15, 16))
((5, 2), (1, 12), (9, 8))
((15, 4), (6, 9), (18, 17))
((5, 18), (11, 4), (17, 5))
((17, 13), (19, 3), (1, 14))
((19, 13), (9, 14), (3, 17))
((1, 10), (12, 3), (18, 9))
((1, 11), (14, 18), (7, 3))
((18, 1), (14, 6), (5, 15))
((5, 17), (3, 16), (1, 19))
((19, 19), (6, 6), (18, 17))
((12, 6), (5, 7), (3, 3))
((6, 18), (14, 9), (4, 9))
((17, 1), (7, 6), (2, 17))
((9, 7), (3, 4), (15, 6))
((15, 16), (5, 1), (2, 18))
((14, 10), (6, 18), (17, 5))
((18, 9), (6, 7), (1, 12))
((15, 4), (13, 11), (11, 15))
((14, 15), (18, 9), (3, 11))
((5, 14), (3, 14), (9, 14))
((11, 6), (8, 14), (7, 11))
((15, 4), (19, 2), (15, 6))
((1, 14), (5, 9), (19, 2))
((18, 3), (12, 12), (1, 6))
((3, 19), (11, 11), (19, 8))
((5, 2), (14, 13), (19, 2))
((18, 4), (1, 14), (12, 12))
((12, 19), (6, 12), (11, 19))
((17, 5), (12, 17), (9, 19))
((4, 18), (11, 19), (18, 4))
((11, 17), (3, 1), (15, 2))
((7, 10), (18, 16), (17, 19))
((18, 19), (17, 5), (14, 15))
((17, 13), (12, 19), (11, 13))
((12, 12), (3, 16), (14, 8))
((12, 9), (9, 15), (16, 1))
((18, 17), (14, 17), (1, 10))
((7, 4), (13, 1), (18, 18))
((18, 9), (9, 4), (3, 14))
((19, 14), (4, 1), (17, 13))
((18, 11), (15, 4), (17, 17))
((17, 11), (6, 9), (14, 17))
((15, 5), (11, 9), (12, 18))
((3, 1), (5, 4), (13, 4))
((9, 3), (1, 10), (3, 8))
((5, 17), (17, 8), (8, 14))
((19, 2), (18, 13), (5, 18))
((19, 6), (6, 12), (4, 4))
((16, 9), (16, 13), (9, 15))
((11, 4), (11, 15), (3, 8))
((7, 12), (18, 5), (18, 16))
((4, 3), (9, 11), (5, 7))
((15, 19), (18, 3), (7, 4))
((11, 18), (15, 19), (18, 19))
((16, 11), (10, 19), (9, 15))
((16, 11), (5, 16), (4, 10))
((9, 11), (5, 1), (14, 17))
((11, 10), (1, 7), (9, 2))
